name,bucket,url,cost,company,description
ADYOUNEED,Ads,app.adyouneed.com,LFT,DIM&C,LFT Deal
Scalify,Ads,https://app.scalify.com/,LFT,DIM&C,LFT Deal
Markopolo.ai,Ads,https://app.markopolo.ai/,LFT,DIM&C,LFT Deal
PPC Reveal,Ads,https://ppcreveal.ai/,LFT,DIM&C,LFT Deal
King Sumo,Social,https://kingsumo.com/dashboard/giveaways,LFT,DIM&C,LFT Deal
Publer,Social,https://app.publer.io/,LFT,DIM&C,LFT Deal
Sociamonials,Social,https://www.sociamonials.com/,LFT,DIM&C,LFT Deal
Nuelink,Social,https://nuelink.com/queue,LFT,DIM&C,LFT Deal
Marky,Social,https://www.mymarky.ai/,LFT,DIM&C,LFT Deal
KickoffLabs,CRO,https://kickofflabs.com/,LFT,DIM&C,LFT Deal
Alphana,AI,https://www.alphana.ai/,LFT,DIM&C,LFT Deal
Gleemo,Social,https://www.gleemo.ai/,LFT,DIM&C,LFT Deal
Frase,SEO,https://www.frase.io/,LFT,DIM&C,LFT Deal
Postaga,SEO,https://app.postaga.com/,LFT,DIM&C,LFT Deal
Screpy,SEO,https://app.screpy.com/dashboard,LFT,DIM&C,LFT Deal
Plerdy,SEO,https://a.plerdy.com/,LFT,DIM&C,LFT Deal
WriterZen,SEO,https://writerzen.net/,LFT,DIM&C,LFT Deal
Ubersuggest,SEO,https://app.neilpatel.com/,LFT,DIM&C,LFT Deal
BacklinkSEO,SEO,https://app.backlinkseo.com/,LFT,DIM&C,LFT Deal
SEO Tester PRO,SEO,https://seotesterpro.clientpanel.co/,LFT,DIM&C,LFT Deal
SERPstash,SEO,https://app.serpstash.com/,LFT,DIM&C,LFT Deal
Video to Blog,SEO,https://videotoblog.ai/,LFT,DIM&C,LFT Deal
Ranklytics,SEO,https://ranklytics.ai/,LFT,DIM&C,LFT Deal
Local Rank Tracker,SEO,https://local.ratingcaptain.com/login,LFT,DIM&C,LFT Deal
RanksPro,SEO,https://www.rankspro.io/,LFT,DIM&C,LFT Deal
MailerCloud,Email,https://app.mailercloud.com/dashboard,LFT,DIM&C,LFT Deal
MailRush,Email,https://app.mailrush.io/,LFT,DIM&C,LFT Deal
Encharge,Email,https://app.encharge.io/dashboard,LFT,DIM&C,LFT Deal
Brevo (sendinblue),Email,https://app.brevo.com/,LFT,DIM&C,LFT Deal
ShortySMS,Email,https://shortysms.com/dashboard,LFT,DIM&C,LFT Deal
SendFox,Email,https://sendfox.com/,LFT,DIM&C,LFT Deal
Evidence,CRO,https://app.evidence.io/,LFT,DIM&C,LFT Deal
Webtrends Optimize,CRO,https://app.webtrends-optimize.com/,LFT,DIM&C,LFT Deal
Optinly,CRO,https://app.optinly.com/,LFT,DIM&C,LFT Deal
Gravitec,CRO,https://push.gravitec.net/,LFT,DIM&C,LFT Deal
Leadsbridge,CRO,https://app.leadsbridge.com/,LFT,DIM&C,LFT Deal
Leads Lab,CRO,https://dashboard.leadlabs.app/home,LFT,DIM&C,LFT Deal
GetLeadForms,CRO,https://go.getleadforms.com/login,LFT,DIM&C,LFT Deal
FormCan,CRO,https://design.formcan.com/,LFT,DIM&C,LFT Deal
Popup Hero,CRO,https://app.answerly.io/popuphero/my-popups,LFT,DIM&C,LFT Deal
Frontlead,CRO,https://frontlead.io/,LFT,DIM&C,LFT Deal
